NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,18.833878799996455,None,1,0.028025800012983382,18.833878799996455,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,18.93141399999149,None,2,0.013061399993603118,18.93141399999149,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,19.014392999990378,None,3,0.01769550000608433,19.014392999990378,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,19.11207469999499,None,1,0.4135882999980822,19.11207469999499,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,19.60444969999662,None,3,0.14061850000871345,19.60444969999662,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,19.81990479999513,None,2,0.14881899999454618,19.81990479999513,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,20.04935580000165,None,3,0.02706229999603238,20.04935580000165,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,20.146298499996192,None,1,0.05581459999666549,20.146298499996192,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,20.27838740000152,None,2,0.3002310000010766,20.27838740000152,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,1,0,1,0,0,12,12,12,,,,,,,20.688062799992622,None,1,0.15490629999840166,20.688062799992622,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,21.74325864999264,None,None,21.74325864999264,None,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
1,['1'],TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,TMTstop-A_1_practice.png,10,2,0,2,0,0,0,0,0,,,,,,,21.785411099990597,None,1,1.2402322999987518,21.785411099990597,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
2,['2'],TMTstop-A_1_practice.png,TMTstop-A_1_practicefirstgreen.png,TMTstop-A_1_practicefirstred.png,10,2,0,2,0,0,1,1,1,,,,,,,23.11834829999134,None,2,0.03880569999455474,23.11834829999134,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,2,0,2,0,0,2,2,2,,,,,,,23.236631499996292,None,3,0.02095499999995809,23.236631499996292,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,2,0,2,0,0,3,3,3,,,,,,,23.33380659999966,None,1,0.06349729999783449,23.33380659999966,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,2,0,2,0,0,4,4,4,,,,,,,23.47252589999698,None,2,0.006689399990136735,23.47252589999698,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,2,0,2,0,0,5,5,5,,,,,,,23.548945699993055,None,3,0.040312099998118356,23.548945699993055,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,2,0,2,0,0,6,6,6,,,,,,,23.660500500001945,None,1,0.04320870000810828,23.660500500001945,None,,,,,,,001,2021_Nov_15_1807,TMTAB,2021.2.3,143.89793608541908,
