NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
17,['3'],3,TMTstop-control_1_plinestimulus14.png,TMTstop-control_1_pgreenlinestimulus14.png,TMTstop-control_1_predlinestimulus14.png,None,0,16,16,16,,,,,,,,,2,0,22.676962900004582,None,"['2', '3']",1,"[-0.02195890000439249, 0.10748099999909755]",22.676962900004582,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,1,1,22.869790400000056,None,['1'],1,[0.09175870000035502],22.869790400000056,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,2,0,23.040463900004397,None,"['2', '3']",1,"[-0.004488900005526375, 0.10991759999888018]",23.040463900004397,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,2,0,23.24873099999968,None,"['1', '2']",1,"[0.07198239999706857, 0.13142979999975068]",23.24873099999968,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,2,0,23.462985700003628,None,"['3', '1']",1,"[0.03311379999649944, 0.1837695999929565]",23.462985700003628,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,,,,,2,0,23.736619299997983,None,"['2', '3']",1,"[-0.029874100000597537, 0.07398829999874579]",23.736619299997983,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,0,22,22,22,,,,,,,,,2,0,23.92430669999885,None,"['1', '2']",1,"[0.031169499998213723, 0.1080697999932454]",23.92430669999885,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,0,23,23,23,,,,,,,,,2,0,24.120596300002944,None,"['3', '1']",1,"[0.007725700001174118, 0.12474410000140779]",24.120596300002944,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,0,24,24,24,,,,,,,,,2,0,24.32814530000178,None,"['2', '3']",1,"[-0.026840500002435874, 0.08722660000057658]",24.32814530000178,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,0,25,25,25,,,,,,,,,3,0,24.520433500001673,None,"['1', '2', '3']",0,"[0.0065781000012066215, 0.0711989999981597, 0.1809923999971943]",24.520433500001673,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,1,1,38.93056010000146,None,['3'],1,[0.05422639999596868],38.93056010000146,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
2,['1'],1,TMTstop-A_1_p.png,TMTstop-A_1_pfirstgreen.png,TMTstop-A_1_pfirstred.png,10,,,,,0,1,1,1,,,,,1,1,39.07441349999863,None,['1'],1,[0.07593130000168458],39.07441349999863,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
3,['2'],2,TMTstop-A_1_plinestimulus0.png,TMTstop-A_1_pgreenlinestimulus0.png,TMTstop-A_1_predlinestimulus0.png,10,,,,,0,2,2,2,,,,,1,1,39.234973999999056,None,['2'],1,[-0.014118599996436387],39.234973999999056,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
4,['1'],1,TMTstop-A_1_plinestimulus1.png,TMTstop-A_1_pgreenlinestimulus1.png,TMTstop-A_1_predlinestimulus1.png,10,,,,,0,3,3,3,,,,,2,0,39.36639860000287,None,"['3', '1']",1,"[-0.00762399999803165, 0.15502740000374615]",39.36639860000287,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
5,['2'],2,TMTstop-A_1_plinestimulus2.png,TMTstop-A_1_pgreenlinestimulus2.png,TMTstop-A_1_predlinestimulus2.png,10,,,,,0,4,4,4,,,,,1,1,39.59912450000411,None,['2'],1,[-0.025952399999368936],39.59912450000411,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
6,['1'],1,TMTstop-A_1_plinestimulus3.png,TMTstop-A_1_pgreenlinestimulus3.png,TMTstop-A_1_predlinestimulus3.png,10,,,,,0,5,5,5,,,,,2,0,39.67940190000081,None,"['3', '1']",1,"[0.008206400001654401, 0.14601499999844236]",39.67940190000081,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
7,['2'],2,TMTstop-A_1_plinestimulus4.png,TMTstop-A_1_pgreenlinestimulus4.png,TMTstop-A_1_predlinestimulus4.png,10,,,,,0,6,6,6,,,,,1,1,39.92444429999887,None,['2'],1,[-0.03701119999459479],39.92444429999887,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
8,['1'],1,TMTstop-A_1_plinestimulus5.png,TMTstop-A_1_pgreenlinestimulus5.png,TMTstop-A_1_predlinestimulus5.png,10,,,,,0,7,7,7,,,,,2,0,40.00001619999966,None,"['3', '1']",1,"[-0.010223900004348252, 0.132695699998294]",40.00001619999966,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
9,['2'],2,TMTstop-A_1_plinestimulus6.png,TMTstop-A_1_pgreenlinestimulus6.png,TMTstop-A_1_predlinestimulus6.png,10,,,,,0,8,8,8,,,,,1,1,40.242002600003616,None,['2'],1,[-0.059491499996511266],40.242002600003616,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
10,['1'],1,TMTstop-A_1_plinestimulus7.png,TMTstop-A_1_pgreenlinestimulus7.png,TMTstop-A_1_predlinestimulus7.png,10,,,,,0,9,9,9,,,,,2,0,40.313268199999584,None,"['3', '1']",1,"[-0.004383199993753806, 0.12626280000404222]",40.313268199999584,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
11,['2'],2,TMTstop-A_1_plinestimulus8.png,TMTstop-A_1_pgreenlinestimulus8.png,TMTstop-A_1_predlinestimulus8.png,10,,,,,0,10,10,10,,,,,1,1,40.54128440000204,None,['2'],1,[-0.056451900003594346],40.54128440000204,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
12,['1'],1,TMTstop-A_1_plinestimulus9.png,TMTstop-A_1_pgreenlinestimulus9.png,TMTstop-A_1_predlinestimulus9.png,10,,,,,0,11,11,11,,,,,2,0,40.611301800003275,None,"['3', '1']",1,"[-0.013546399997721892, 0.13327209999988554]",40.611301800003275,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
13,['2'],2,TMTstop-A_1_plinestimulus10.png,TMTstop-A_1_pgreenlinestimulus10.png,TMTstop-A_1_predlinestimulus10.png,1,,,,,0,12,12,12,,,,,1,1,40.861699000000954,None,['2'],1,[-0.07022310000320431],40.861699000000954,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
14,['3'],3,TMTstop-A_1_plinestimulus11.png,TMTstop-A_1_pgreenlinestimulus11.png,TMTstop-A_1_predlinestimulus11.png,None,,,,,0,13,13,13,,,,,1,1,40.96304190000228,None,['3'],1,[-0.03541670000413433],40.96304190000228,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
15,['1'],1,TMTstop-A_1_plinestimulus12.png,TMTstop-A_1_pgreenlinestimulus12.png,TMTstop-A_1_predlinestimulus12.png,None,,,,,0,14,14,14,,,,,1,1,41.06230040000082,None,['1'],1,[0.004949499998474494],41.06230040000082,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
16,['3'],3,TMTstop-A_1_plinestimulus13.png,TMTstop-A_1_pgreenlinestimulus13.png,TMTstop-A_1_predlinestimulus13.png,None,,,,,0,15,15,15,,,,,2,0,41.16487169999891,None,"['2', '3']",1,"[-0.03573550000146497, 0.09103250000043772]",41.16487169999891,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
17,['1'],1,TMTstop-A_1_plinestimulus14.png,TMTstop-A_1_pgreenlinestimulus14.png,TMTstop-A_1_predlinestimulus14.png,None,,,,,0,16,16,16,,,,,1,1,41.34007250000286,None,['1'],1,[0.04430389999470208],41.34007250000286,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
18,['2'],2,TMTstop-A_1_plinestimulus15.png,TMTstop-A_1_pgreenlinestimulus15.png,TMTstop-A_1_predlinestimulus15.png,None,,,,,0,17,17,17,,,,,1,1,41.4569491000002,None,['2'],1,[-0.018297200003871694],41.4569491000002,None,,001,2022_Nov_17_1326,TMT_practice,2021.2.3,144.22543011688293,
