Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Blocks_TMTA.thisRepN,Blocks_TMTA.thisTrialN,Blocks_TMTA.thisN,Blocks_TMTA.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,Blocks_TMTB.thisRepN,Blocks_TMTB.thisTrialN,Blocks_TMTB.thisN,Blocks_TMTB.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,0,56.14328399999067,None,"['3', '2']",1,"[0.9457674999721348, 1.0845303998794407]",56.14328399999067,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,15,0,57.41214679996483,None,"['2', '3', '2', '3', '2', '3', '2', '3', '2', '3', '3', '2', '2', '3', '1']",1,"[0.05414410005323589, 0.11627570004202425, 0.3238165001384914, 0.4062695999164134, 0.6265571000985801, 0.6856865000445396, 0.8924173000268638, 0.9702135999687016, 1.1682716000359505, 1.2264517999719828, 1.915580099914223, 1.9381391000933945, 2.2093021001201123, 2.305996200069785, 3.060679400106892]",57.41214679996483,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1,1,60.59297570004128,None,['2'],1,[0.03676440007984638],60.59297570004128,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,60.74691740004346,None,['3'],1,[-0.009830999886617064],60.74691740004346,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,0,60.84922609990463,None,"['1', '2']",1,"[0.0038228000048547983, 0.055285200010985136]",60.84922609990463,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,2,0,61.038795199943706,None,"['3', '1']",1,"[-0.03058629995211959, 0.08737110020592809]",61.038795199943706,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,2,0,61.28029939997941,None,"['2', '3']",1,"[-0.11235890001989901, -0.010469600092619658]",61.28029939997941,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,2,0,61.392125099897385,None,"['1', '2']",1,"[0.013359099859371781, 0.04571660002693534]",61.392125099897385,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,1,61.58395030000247,None,['3'],1,[-0.035148900002241135],61.58395030000247,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,2,0,61.689085100078955,None,"['1', '2']",1,"[-0.0012961998581886292, 0.025740800192579627]",61.689085100078955,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,1,1,61.86963999993168,None,['3'],1,[-0.03201720002107322],61.86963999993168,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,12,['1'],1,TMTstop-control_1_1linestimulus9.png,TMTstop-control_1_1greenlinestimulus9.png,TMTstop-control_1_1redlinestimulus9.png,TMT_Control,1,12,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,1,1,61.98171119997278,None,['1'],1,[-0.005598899908363819],61.98171119997278,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,13,['3'],3,TMTstop-control_1_1linestimulus10.png,TMTstop-control_1_1greenlinestimulus10.png,TMTstop-control_1_1redlinestimulus10.png,TMT_Control,1,13,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,2,0,62.09084769990295,None,"['2', '3']",1,"[-0.050338400062173605, 0.030415399931371212]",62.09084769990295,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
TMTstop-Control_1_1.xlsx,0:26,14,['1'],1,TMTstop-control_1_1linestimulus11.png,TMTstop-control_1_1greenlinestimulus11.png,TMTstop-control_1_1redlinestimulus11.png,TMT_Control,1,14,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,7,0,62.3082701000385,None,"['1', '2', '3', '1', '2', '3', '1']",1,"[-0.0635092998854816, 0.0022094999440014362, 0.08230719994753599, 0.2068050999660045, 0.23473190004006028, 0.34760139998979867, 0.46659760014154017]",62.3082701000385,None,,001,2022_Feb_02_1835,TMT_fmri,2021.2.3,None,
