Block_file,Condition_rows,NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,Version,Block,TrialNumber_session,Blocks_TMTControl.thisRepN,Blocks_TMTControl.thisTrialN,Blocks_TMTControl.thisN,Blocks_TMTControl.thisIndex,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
TMTstop-Control_1_1.xlsx,0:26,1,['2'],2,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMTstop-control_1_1.png,TMT_Control,1,1,0,0,0,0,0,0,0,0,1,1,11.508539599832147,None,['2'],1,[-3.085857299854979],11.508539599832147,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,2,['1'],1,TMTstop-control_1_1.png,TMTstop-control_1_1firstgreen.png,TMTstop-control_1_1firstred.png,TMT_Control,1,2,0,0,0,0,0,1,1,1,1,1,11.611749499803409,None,['1'],1,[0.3371222000569105],11.611749499803409,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,3,['2'],2,TMTstop-control_1_1linestimulus0.png,TMTstop-control_1_1greenlinestimulus0.png,TMTstop-control_1_1redlinestimulus0.png,TMT_Control,1,3,0,0,0,0,0,2,2,2,1,1,12.035941999871284,None,['2'],1,[0.04866919992491603],12.035941999871284,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,4,['3'],3,TMTstop-control_1_1linestimulus1.png,TMTstop-control_1_1greenlinestimulus1.png,TMTstop-control_1_1redlinestimulus1.png,TMT_Control,1,4,0,0,0,0,0,3,3,3,1,1,12.160555399954319,None,['3'],1,[-0.03810400003567338],12.160555399954319,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,5,['2'],2,TMTstop-control_1_1linestimulus2.png,TMTstop-control_1_1greenlinestimulus2.png,TMTstop-control_1_1redlinestimulus2.png,TMT_Control,1,5,0,0,0,0,0,4,4,4,2,0,12.237114199902862,None,"['1', '2']",1,"[0.040259200148284435, 0.10148450010456145]",12.237114199902862,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,6,['1'],1,TMTstop-control_1_1linestimulus3.png,TMTstop-control_1_1greenlinestimulus3.png,TMTstop-control_1_1redlinestimulus3.png,TMT_Control,1,6,0,0,0,0,0,5,5,5,2,0,12.43850849987939,None,"['3', '1']",1,"[-0.0226863999851048, 0.11516769998706877]",12.43850849987939,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,7,['3'],3,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus4.png,TMTstop-control_1_1redlinestimulus4.png,TMT_Control,1,7,0,0,0,0,0,6,6,6,2,0,12.640035699820146,None,"['2', '3']",1,"[-0.049970800057053566, 0.06492799986153841]",12.640035699820146,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,8,['2'],2,TMTstop-control_1_1linestimulus4.png,TMTstop-control_1_1greenlinestimulus5.png,TMTstop-control_1_1redlinestimulus5.png,TMT_Control,1,8,0,0,0,0,0,7,7,7,2,0,12.800749299814925,None,"['1', '2']",1,"[0.04620660003274679, 0.07274730014614761]",12.800749299814925,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,9,['3'],3,TMTstop-control_1_1linestimulus6.png,TMTstop-control_1_1greenlinestimulus6.png,TMTstop-control_1_1redlinestimulus6.png,TMT_Control,1,9,0,0,0,0,0,8,8,8,1,1,12.973008399829268,None,['3'],1,[0.043048300081864],12.973008399829268,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,10,['2'],2,TMTstop-control_1_1linestimulus7.png,TMTstop-control_1_1greenlinestimulus7.png,TMTstop-control_1_1redlinestimulus7.png,TMT_Control,1,10,0,0,0,0,0,9,9,9,2,0,13.092467000009492,None,"['1', '2']",1,"[0.052594600012525916, 0.07465959992259741]",13.092467000009492,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
TMTstop-Control_1_1.xlsx,0:26,11,['3'],3,TMTstop-control_1_1linestimulus8.png,TMTstop-control_1_1greenlinestimulus8.png,TMTstop-control_1_1redlinestimulus8.png,TMT_Control,1,11,0,0,0,0,0,10,10,10,1,1,13.27161779999733,None,['3'],1,[0.03485330007970333],13.27161779999733,None,,001,2022_Feb_02_1746,TMT_fmri,2021.2.3,132.12745026607996,
