NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,['3'],TMTstop-A_1_practicelinestimulus0.png,TMTstop-A_1_practicegreenlinestimulus0.png,TMTstop-A_1_practiceredlinestimulus0.png,10,1,0,1,0,0,2,2,2,,,,,,,,,,,18.29020109999692,None,3,0.07169969999813475,18.29020109999692,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
4,['1'],TMTstop-A_1_practicelinestimulus1.png,TMTstop-A_1_practicegreenlinestimulus1.png,TMTstop-A_1_practiceredlinestimulus1.png,10,1,0,1,0,0,3,3,3,,,,,,,,,,,18.443185600001016,None,1,0.047115900000790134,18.443185600001016,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
5,['2'],TMTstop-A_1_practicelinestimulus2.png,TMTstop-A_1_practicegreenlinestimulus2.png,TMTstop-A_1_practiceredlinestimulus2.png,10,1,0,1,0,0,4,4,4,,,,,,,,,,,18.56790199999523,None,2,0.02576059999410063,18.56790199999523,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
6,['3'],TMTstop-A_1_practicelinestimulus3.png,TMTstop-A_1_practicegreenlinestimulus3.png,TMTstop-A_1_practiceredlinestimulus3.png,10,1,0,1,0,0,5,5,5,,,,,,,,,,,18.672322200000053,None,3,0.035521600002539344,18.672322200000053,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
7,['1'],TMTstop-A_1_practicelinestimulus4.png,TMTstop-A_1_practicegreenlinestimulus4.png,TMTstop-A_1_practiceredlinestimulus4.png,10,1,0,1,0,0,6,6,6,,,,,,,,,,,18.78334929999255,None,1,0.04567150000366382,18.78334929999255,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
8,['3'],TMTstop-A_1_practicelinestimulus5.png,TMTstop-A_1_practicegreenlinestimulus5.png,TMTstop-A_1_practiceredlinestimulus5.png,10,1,0,1,0,0,7,7,7,,,,,,,,,,,18.90875999999116,None,3,0.13517090000095777,18.90875999999116,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
9,['2'],TMTstop-A_1_practicelinestimulus6.png,TMTstop-A_1_practicegreenlinestimulus6.png,TMTstop-A_1_practiceredlinestimulus6.png,10,1,0,1,0,0,8,8,8,,,,,,,,,,,19.123745399992913,None,2,0.5894385000137845,19.123745399992913,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
10,['3'],TMTstop-A_1_practicelinestimulus7.png,TMTstop-A_1_practicegreenlinestimulus7.png,TMTstop-A_1_practiceredlinestimulus7.png,10,1,0,1,0,0,9,9,9,,,,,,,,,,,19.78329959999246,None,3,0.08392779999121558,19.78329959999246,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
11,['1'],TMTstop-A_1_practicelinestimulus8.png,TMTstop-A_1_practicegreenlinestimulus8.png,TMTstop-A_1_practiceredlinestimulus8.png,10,1,0,1,0,0,10,10,10,,,,,,,,,,,19.93654009999591,None,1,0.7644316000078106,19.93654009999591,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
12,['2'],TMTstop-A_1_practicelinestimulus9.png,TMTstop-A_1_practicegreenlinestimulus9.png,TMTstop-A_1_practiceredlinestimulus9.png,10,1,0,1,0,0,11,11,11,,,,,,,,,,,20.77658099999826,None,2,0.6700254999886965,20.77658099999826,None,,,,,,,,001,2021_Nov_15_1814,TMTAB,2021.2.3,144.50783521245188,
