NumberLetter,corrAns,Correct,StimFile,Correct_StimFile,False_StimFile,DurationTrial,trials_TMTControl.thisRepN,trials_TMTControl.thisTrialN,trials_TMTControl.thisN,trials_TMTControl.thisIndex,trials_TMTA.thisRepN,trials_TMTA.thisTrialN,trials_TMTA.thisN,trials_TMTA.thisIndex,trials_TMTB.thisRepN,trials_TMTB.thisTrialN,trials_TMTB.thisN,trials_TMTB.thisIndex,Attempts,First_attempt,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,['1'],1,TMTstop-control_1_plinestimulus15.png,TMTstop-control_1_pgreenlinestimulus15.png,TMTstop-control_1_predlinestimulus15.png,None,0,17,17,17,,,,,,,,,1,1,155.46641480000108,None,['1'],1,[0.5945989000028931],155.46641480000108,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
19,['3'],3,TMTstop-control_1_plinestimulus16.png,TMTstop-control_1_pgreenlinestimulus16.png,TMTstop-control_1_predlinestimulus16.png,None,0,18,18,18,,,,,,,,,1,1,156.14716530000442,None,['3'],1,[1.1445680999895558],156.14716530000442,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
20,['2'],2,TMTstop-control_1_plinestimulus17.png,TMTstop-control_1_pgreenlinestimulus17.png,TMTstop-control_1_predlinestimulus17.png,None,0,19,19,19,,,,,,,,,1,1,157.36959270000807,None,['2'],1,[0.5606277999759186],157.36959270000807,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
21,['1'],1,TMTstop-control_1_plinestimulus18.png,TMTstop-control_1_pgreenlinestimulus18.png,TMTstop-control_1_predlinestimulus18.png,None,0,20,20,20,,,,,,,,,1,1,158.02178020001156,None,['1'],1,[0.6583953000081237],158.02178020001156,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
22,['3'],3,TMTstop-control_1_plinestimulus19.png,TMTstop-control_1_pgreenlinestimulus19.png,TMTstop-control_1_predlinestimulus19.png,None,0,21,21,21,,,,,,,,,1,1,158.76492839999264,None,['3'],1,[0.602683100005379],158.76492839999264,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
23,['2'],2,TMTstop-control_1_plinestimulus20.png,TMTstop-control_1_pgreenlinestimulus20.png,TMTstop-control_1_predlinestimulus20.png,None,0,22,22,22,,,,,,,,,1,1,159.47420920000877,None,['2'],1,[0.7011458000051789],159.47420920000877,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
24,['1'],1,TMTstop-control_1_plinestimulus21.png,TMTstop-control_1_pgreenlinestimulus21.png,TMTstop-control_1_predlinestimulus21.png,None,0,23,23,23,,,,,,,,,1,1,160.26491769999848,None,['1'],1,[0.3252005999966059],160.26491769999848,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
25,['3'],3,TMTstop-control_1_plinestimulus22.png,TMTstop-control_1_pgreenlinestimulus22.png,TMTstop-control_1_predlinestimulus22.png,None,0,24,24,24,,,,,,,,,1,1,160.68180140000186,None,['3'],1,[0.49009079998359084],160.68180140000186,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
None,None,None,TMTstop-control_1_plinestimulus23.png,TMTstop-control_1_pgreenlinestimulus23.png,TMTstop-control_1_predlinestimulus23.png,None,0,25,25,25,,,,,,,,,1,1,161.25795130000915,None,['2'],0,[0.8306002999888733],161.25795130000915,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
1,['3'],3,TMTstop-A_1_p.png,TMTstop-A_1_p.png,TMTstop-A_1_p.png,10,,,,,0,0,0,0,,,,,2,0,180.88893099999405,None,"['1', '3']",1,"[-0.5705277999804821, 1.5821976000152063]",180.88893099999405,None,,001,2022_Apr_29_1103,TMT_practice,2021.2.3,141.50436120379786,
