NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,Correct,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,TMTstop-A_1_practicelinestimulus10.png,TMTstop-A_1_practicegreenlinestimulus10.png,TMTstop-A_1_practiceredlinestimulus10.png,None,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,17.554111700039357,None,3,0.3788612000644207,17.554111700039357,None,,,,,,,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.63423310010694,None,2,0.7815560998860747,18.63423310010694,None,,,,,,,,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
1,['2'],TMTstop-A_1_1.png,TMTstop-A_1_1.png,TMTstop-A_1_1.png,10,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,19.43619089992717,None,,,,,,,,,,,,,22.53890879987739,None,"['1', '2']",1,"[0.5845801001414657, 0.7209608999546617]",22.53890879987739,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
2,['1'],TMTstop-A_1_1.png,TMTstop-A_1_1firstgreen.png,TMTstop-A_1_1firstred.png,10,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.356568800052628,None,"['3', '1']",1,"[-0.05029429984278977, 0.12839299999177456]",23.356568800052628,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
3,['2'],TMTstop-A_1_1linestimulus0.png,TMTstop-A_1_1greenlinestimulus0.png,TMTstop-A_1_1redlinestimulus0.png,10,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.589976100018248,None,['2'],1,[0.0020779999904334545],23.589976100018248,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
4,['3'],TMTstop-A_1_1linestimulus1.png,TMTstop-A_1_1greenlinestimulus1.png,TMTstop-A_1_1redlinestimulus1.png,10,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.690277900081128,None,['3'],1,[-0.030099299969151616],23.690277900081128,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
5,['2'],TMTstop-A_1_1linestimulus2.png,TMTstop-A_1_1greenlinestimulus2.png,TMTstop-A_1_1redlinestimulus2.png,10,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.773294100072235,None,"['1', '2']",1,"[0.009782199980691075, 0.09782289993017912]",23.773294100072235,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
6,['3'],TMTstop-A_1_1linestimulus3.png,TMTstop-A_1_1greenlinestimulus3.png,TMTstop-A_1_1redlinestimulus3.png,10,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97370640002191,None,['3'],1,[-0.03057930013164878],23.97370640002191,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
7,['2'],TMTstop-A_1_1linestimulus4.png,TMTstop-A_1_1greenlinestimulus4.png,TMTstop-A_1_1redlinestimulus4.png,10,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05732939997688,None,"['1', '2']",1,"[0.02317850012332201, 0.10360089992173016]",24.05732939997688,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
8,['1'],TMTstop-A_1_1linestimulus5.png,TMTstop-A_1_1greenlinestimulus5.png,TMTstop-A_1_1redlinestimulus5.png,10,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.273640800034627,None,"['3', '1']",1,"[-0.02369550010189414, 0.09649130003526807]",24.273640800034627,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
9,['2'],TMTstop-A_1_1linestimulus6.png,TMTstop-A_1_1greenlinestimulus6.png,TMTstop-A_1_1redlinestimulus6.png,10,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.457050299970433,None,['2'],1,[0.0001963998656719923],24.457050299970433,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
10,['1'],TMTstop-A_1_1linestimulus7.png,TMTstop-A_1_1greenlinestimulus7.png,TMTstop-A_1_1redlinestimulus7.png,10,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.54065370000899,None,"['3', '1']",1,"[-0.011358699994161725, 0.11869400017894804]",24.54065370000899,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
11,['2'],TMTstop-A_1_1linestimulus8.png,TMTstop-A_1_1greenlinestimulus8.png,TMTstop-A_1_1redlinestimulus8.png,10,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.790529599878937,None,['2'],1,[-0.06004979996941984],24.790529599878937,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
12,['3'],TMTstop-A_1_1linestimulus9.png,TMTstop-A_1_1greenlinestimulus9.png,TMTstop-A_1_1redlinestimulus9.png,10,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8738726999145,None,['3'],1,[-0.05853359983302653],24.8738726999145,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
13,['2'],TMTstop-A_1_1linestimulus10.png,TMTstop-A_1_1greenlinestimulus10.png,TMTstop-A_1_1redlinestimulus10.png,1,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.95724010001868,None,"['1', '2']",1,"[-0.01920780004002154, 0.08319959999062121]",24.95724010001868,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
14,['3'],TMTstop-A_1_1linestimulus11.png,TMTstop-A_1_1greenlinestimulus11.png,TMTstop-A_1_1redlinestimulus11.png,None,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.140691299922764,None,['3'],1,[-0.04270989983342588],25.140691299922764,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
15,['1'],TMTstop-A_1_1linestimulus12.png,TMTstop-A_1_1greenlinestimulus12.png,TMTstop-A_1_1redlinestimulus12.png,None,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.224080299958587,None,['1'],1,[0.0051929999608546495],25.224080299958587,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
16,['3'],TMTstop-A_1_1linestimulus13.png,TMTstop-A_1_1greenlinestimulus13.png,TMTstop-A_1_1redlinestimulus13.png,None,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.324158600065857,None,"['2', '3']",1,"[-0.03266100003384054, 0.053723299875855446]",25.324158600065857,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
17,['2'],TMTstop-A_1_1linestimulus14.png,TMTstop-A_1_1greenlinestimulus14.png,TMTstop-A_1_1redlinestimulus14.png,None,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.50748119992204,None,"['1', '2']",1,"[0.005330000072717667, 0.11095730005763471]",25.50748119992204,None,,001,2022_Jan_11_1400,TMTAB,2021.2.3,59.88665855330819,
