NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,DurationTrial,restartpractice.thisRepN,restartpractice.thisTrialN,restartpractice.thisN,restartpractice.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,Instruct.started,Instruct.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon.started,polygon.stopped,Stim_practice.started,Stim_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,9.050353200000245,None,48.597942399966996,None,2,22.850962899974547,48.597942399966996,None,,,,,,,,,,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
1,2,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,TMTstop-Control_1_practice.png,10,0,0,0,0,0,0,0,0,,,,,,,,,71.47556599997915,None,74.5920493999729,None,2,1,0.9303674999973737,74.5920493999729,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
2,3,TMTstop-Control_1_practice.png,TMTstop-Control_1_practicefirstgreen.png,TMTstop-Control_1_practicefirstred.png,10,0,0,0,0,0,1,1,1,,,,,,,,,,,75.63365299999714,None,1,0,0.2200542999780737,75.63365299999714,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
3,2,TMTstop-Control_1_practicelinestimulus0.png,TMTstop-Control_1_practicegreenlinestimulus0.png,TMTstop-Control_1_practiceredlinestimulus0.png,10,0,0,0,0,0,2,2,2,,,,,,,,,,,75.93272429995704,None,3,0,0.11562920000869781,75.93272429995704,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
4,1,TMTstop-Control_1_practicelinestimulus1.png,TMTstop-Control_1_practicegreenlinestimulus1.png,TMTstop-Control_1_practiceredlinestimulus1.png,10,0,0,0,0,0,3,3,3,,,,,,,,,,,76.13544329995057,None,2,0,0.6971726999618113,76.13544329995057,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
5,2,TMTstop-Control_1_practicelinestimulus2.png,TMTstop-Control_1_practicegreenlinestimulus2.png,TMTstop-Control_1_practiceredlinestimulus2.png,10,0,0,0,0,0,4,4,4,,,,,,,,,,,76.93268609995721,None,2,1,0.5690850999671966,76.93268609995721,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
6,1,TMTstop-Control_1_practicelinestimulus3.png,TMTstop-Control_1_practicegreenlinestimulus3.png,TMTstop-Control_1_practiceredlinestimulus3.png,10,0,0,0,0,0,5,5,5,,,,,,,,,,,77.58297589997528,None,1,1,1.5047345999628305,77.58297589997528,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
7,2,TMTstop-Control_1_practicelinestimulus4.png,TMTstop-Control_1_practicegreenlinestimulus4.png,TMTstop-Control_1_practiceredlinestimulus4.png,10,0,0,0,0,0,6,6,6,,,,,,,,,,,79.1758422999992,None,1,0,0.8291963000083342,79.1758422999992,None,,001,2021_Nov_25_1216,TMTAB,2021.2.3,142.33031735220757,
