NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
F,2,TMT-control_linestimulus9.png,TMT-control_greenlinestimulus9.png,TMT-control_redlinestimulus9.png,0,11,11,11,,,,,,,,,20.027962299999672,None,3,0,0.6942724000000453,20.027962299999672,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
,,,,,,,,,,,,,,,,,,,,,,,,20.74505709999994,None,space,3.080716699999357,20.74505709999994,None,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
1,3,TMTBD1.bmp,,,,,,,0,0,0,0,23.846517999999378,None,23.846517999999378,None,24.747031299999435,None,1,0,0.4926421999998638,24.747031299999435,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
A,1,TMTBD1.bmp,,,,,,,0,1,1,1,,,,,25.280507199999192,None,2,0,0.16262129999995523,25.280507199999192,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
2,3,TMTBD11.bmp,,,,,,,0,2,2,2,,,,,25.480624599999828,None,3,1,0.1276772000001074,25.480624599999828,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
B,2,TMTBD1A.bmp,,,,,,,0,3,3,3,,,,,25.647326999999677,None,1,0,0.139743499999895,25.647326999999677,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
3,1,TMTBD12.bmp,,,,,,,0,4,4,4,,,,,25.83070239999961,None,2,0,0.03215239999917685,25.83070239999961,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
C,2,TMTBD1B.bmp,,,,,,,0,5,5,5,,,,,25.897481799999696,None,3,0,0.1016128999999637,25.897481799999696,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
4,3,TMTBD13.bmp,,,,,,,0,6,6,6,,,,,26.04752869999993,None,1,0,0.10045420000005834,26.04752869999993,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
D,1,TMTBD1C.bmp,,,,,,,0,7,7,7,,,,,26.180960400000004,None,2,0,0.020360699999400822,26.180960400000004,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
5,2,TMTBD14.bmp,,,,,,,0,8,8,8,,,,,26.24761689999923,None,3,0,0.06872660000044561,26.24761689999923,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
E,3,TMTBD1D.bmp,,,,,,,0,9,9,9,,,,,26.364322399999764,None,1,0,0.12351539999963279,26.364322399999764,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
6,2,TMTBD15.bmp,,,,,,,0,10,10,10,,,,,26.53109939999922,None,2,1,0.015599899999870104,26.53109939999922,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
F,1,TMTBD1E.bmp,,,,,,,0,11,11,11,,,,,26.581074400000034,None,3,0,0.08491980000053445,26.581074400000034,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
7,2,TMTBD16.bmp,,,,,,,0,12,12,12,,,,,26.714469699999427,None,1,0,1.1432668999996167,26.714469699999427,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
G,1,TMTBD1F.bmp,,,,,,,0,13,13,13,,,,,27.89834889999929,None,2,0,0.0641271999993478,27.89834889999929,None,,,,,,,,,,001,2021_Oct_21_1712,TMTAB,2021.2.3,59.94991783852015,
