NumberLetter,corrAns,StimFile,Correct_StimFile,False_StimFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Instruct.started,Instruct.stopped,text_2.started,text_2.stopped,Stim.started,Stim.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,0,0,0,,,,,15.832155199997942,None,15.832155199997942,None,16.82439800001157,None,1,0,58.46767089999048,16.82439800001157,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
A,3,TMT-control.jpg,TMT-control.jpg,TMT-control.jpg,0,1,1,1,,,,,,,,,75.3845438999997,None,3,1,1.497838099996443,75.3845438999997,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
2,1,TMT-control_linestimulus0.png,TMT-control_greenlinestimulus0.png,TMT-control_redlinestimulus0.png,0,2,2,2,,,,,,,,,77.02734810000402,None,1,1,1.3602010999893537,77.02734810000402,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
B,2,TMT-control_linestimulus1.png,TMT-control_greenlinestimulus1.png,TMT-control_redlinestimulus1.png,0,3,3,3,,,,,,,,,78.50232460000552,None,3,0,2.781119800012675,78.50232460000552,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
3,3,TMT-control_linestimulus2.png,TMT-control_greenlinestimulus2.png,TMT-control_redlinestimulus2.png,0,4,4,4,,,,,,,,,81.3864731000067,None,1,0,1.737227499994333,81.3864731000067,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
C,2,TMT-control_linestimulus3.png,TMT-control_greenlinestimulus3.png,TMT-control_redlinestimulus3.png,0,5,5,5,,,,,,,,,83.23820100000012,None,2,1,2.4553079000033904,83.23820100000012,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
4,1,TMT-control_linestimulus4.png,TMT-control_greenlinestimulus4.png,TMT-control_redlinestimulus4.png,0,6,6,6,,,,,,,,,85.82346840000537,None,1,1,1.6992648000014015,85.82346840000537,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
D,3,TMT-control_linestimulus5.png,TMT-control_greenlinestimulus5.png,TMT-control_redlinestimulus5.png,0,7,7,7,,,,,,,,,87.62386570000672,None,3,1,1.3137835999950767,87.62386570000672,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
5,1,TMT-control_linestimulus6.png,TMT-control_greenlinestimulus6.png,TMT-control_redlinestimulus6.png,0,8,8,8,,,,,,,,,89.02615810000862,None,1,1,0.5531705999892438,89.02615810000862,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
E,2,TMT-control_linestimulus7.png,TMT-control_greenlinestimulus7.png,TMT-control_redlinestimulus7.png,0,9,9,9,,,,,,,,,89.69195459999901,None,2,1,0.5759198000014294,89.69195459999901,None,,,,001,2021_Oct_22_1143,TMTAB,2021.2.3,None,
